text,label
气吞山河,自信
小声嘟囔,害羞
葛优躺,平静
忧心忡忡地皱眉,担心
恐惧地咬着手指,害怕
害怕得缩成一团,害怕
害羞得缩了缩脖子,害羞
激动地抓着头发,兴奋
不安地看向窗外,担心
疑惑地歪着头表示困惑,疑惑
愤怒地扭头,生气
核爆级羞耻,难为情
兴奋地拍着爪子,高兴
开心地前后摇摆,兴奋
不安地舔嘴唇,担心
耳朵害羞地轻轻垂下,害羞
满足地舔舔嘴唇,高兴
核威胁,生气
用尾巴轻轻拍打椅子,无奈
突然使坏,调皮
恶心地捂住嘴,厌恶
轻轻侧过脸,害羞
羞耻尖叫,难为情
尾巴害怕地卷起来,害怕
腰肢轻扭,心动
害怕地捂住耳朵,害怕
困惑地歪着头思考问题,疑惑
恶作剧,调皮
用尾巴轻轻缠住脚踝,无奈
不慌不忙地整理,认真
愤愤不平地叉腰,生气
手指轻轻绞在一起,害怕
轻轻靠近你,高兴
不可思议,惊讶
左顾右盼,慌张
端起咖啡继续思考,认真
用尾巴尖轻轻扫地面,无奈
气得尾巴炸毛,生气
渴求爱抚,心动
用纸团丢人,调皮
羞耻漏气,难为情
语无伦次,难为情
亢奋,兴奋
担心地来回踱步,担心
吐露爱语,心动
兴奋地拍打椅背,兴奋
困惑地歪着脑袋发出困惑的声音,疑惑
害羞地玩着尾巴,害羞
反感地缩脖子,厌恶
波澜不惊,平静
灵魂拷问,疑惑
摆动着尾巴蹦跶,高兴
挑眉,自信
灵魂出窍,慌张
激动得说话都破音,兴奋
脚步不自觉后退,紧张
厌恶地往后仰,厌恶
坐立不安,紧张
哭到抓衣角,哭泣
用指甲轻轻敲击杯子,无奈
愤怒地翘起尾巴,生气
从指缝里偷看你,害羞
惊视,惊讶
兴奋地跳着转圈,兴奋
小声地呜咽,哭泣
突然牛哞,难为情
轻轻依偎在你身旁,高兴
焦虑地来回踱步,担心
躲在角落里缩成一团,害怕
气鼓鼓地跺脚,生气
惊喘,惊讶
不安地搓着手,担心
厌恶地憋着气,厌恶
哭到抓头发,哭泣
嘴巴微微上扬,高兴
担心地望向远处,担心
嘴角微微下撇,厌恶
不解地歪着头看你,疑惑
不解地眨眨眼,疑惑
神色淡然,平静
冷着脸叉腰,生气
羞愤欲死,生气
胸有丘壑,自信
用手掌撑着脸颊发呆,无奈
眨眼,调皮
鼻子抽动,哭泣
惊愕,惊讶
困惑地歪着脑袋发出困惑的呜声,疑惑
不安地咬指甲,担心
皱起眉毛盯着你,厌恶
反感地皱眉毛,厌恶
伸出爪子碰碰你,高兴
把下巴搁在桌子上,无奈
噘着嘴鼓腮帮,生气
指挥若定,自信
超出预期,惊讶
得意挑眉,自信
开心地蹦跳着哼歌,兴奋
羞耻漏知,难为情
慌张地低头,慌张
恐惧地屏住呼吸,害怕
思考着点了点头,认真
兴奋地拍打房门,兴奋
害羞地低头,害羞
担心地绞着尾巴,担心
急得直跺脚,紧张
不安地搓着衣角,担心
目光闪烁,紧张
情动,心动
皱着眉咬着笔,认真
撅着嘴巴闷闷不乐,生气
不可思议,惊讶
抽离,平静
担心地绞着衣角,担心
眼神充满期待,高兴
害怕地抱住自己,害怕
偷换饮料,调皮
浑身紧绷,心动
入梦,平静
忐忑,紧张
轻松驾驭,自信
慌乱地理了理衣服,害羞
用尾巴拍地,生气
局促,紧张
踱步,自信
专注地做笔记,认真
厌恶地揪衣角,厌恶
把帽子反戴,调皮
轻轻贴近你,高兴
羞耻闭眼,难为情
猛然一惊,惊讶
抽抽搭搭,哭泣
嘟起嘴巴翻白眼,生气
嘴角弯得更深了,高兴
瞠目结舌,惊讶
藏东西,调皮
睥睨,自信
侧耳倾听,认真
风平浪静,平静
嘟着嘴,生气
害怕地环抱住自己,害怕
轻轻咬着指尖,害怕
眼里满是笑意,高兴
耳朵尖微微发烫,害羞
慌里慌张,慌张
用手指轻轻点嘴唇,无奈
用手指卷着头发发呆,无奈
振奋,兴奋
泰然处之,平静
轻轻摇头不再反驳,无奈
软绵绵地趴在你身上,高兴
把扣子解开,调皮
疑惑地歪着尾巴思考,疑惑
快乐地左右扭动,兴奋
清静,平静
激动地抓着衣角跳,兴奋
面不改色,平静
害羞地别开视线,害羞
哭到发抖,哭泣
拉头发逗弄,调皮
泪腺崩溃,哭泣
梨花带雨,哭泣
悲鸣,哭泣
疑惑地歪着头表示不解,疑惑
诧异莫名,惊讶
发情期标记,心动
腰身发颤,心动
耳朵轻轻抖动,害羞
坚定地注视着,认真
把帽子往下拉了拉,无奈
稳如老狗,自信
运筹决胜,自信
屏住呼吸,认真
淡定自若,自信
羞耻蹬腿,难为情
嘟嘴鼓腮帮瞪你,生气
紧紧抱住尾巴,高兴
不解地歪着耳朵听你解释,疑惑
咬着嘴唇哭,哭泣
哭哑嗓子,哭泣
泪湿地毯,哭泣
紧张,紧张
哭到捶地,哭泣
纳闷地翻看,疑惑
焦虑地咬着指甲,担心
不解地歪着头思考你的说法,疑惑
眼神躲闪不敢直视,害怕
闲庭信步,自信
平和,平静
紧张地揪衣摆,紧张
兴奋地拍打自己的腿,兴奋
狡黠地眨眼睛,调皮
不解地歪着耳朵听你描述,疑惑
茫然,平静
站立不稳,慌张
自得,平静
微微侧过脸颊,害羞
饿极,哭泣
惊魂未定,惊讶
惊悸,惊讶
吃惊地捂住胸口,惊讶
微微低头盯着地面,害羞
兴奋地踢踏着脚,兴奋
偷喝对方水,调皮
赖床,平静
想要,心动
羞耻扭动,难为情
双手合十露出笑容,高兴
眼神带着怒火,生气
用手指轻轻点耳后,无奈
紧张地竖起耳朵听,担心
快速做笔记,认真
悄悄握紧拳头,害羞
心跳加速,紧张
眉头紧皱,厌恶
耳朵害羞地耷拉下来,害羞
歪着头,疑惑
排卵期躁动,心动
啪嗒啪嗒拍爪子,高兴
乱了阵脚,慌张
尽在掌握,自信
翻阅资料,认真
用脚尖画着小圆圈,无奈
兴奋地拍打桌面,兴奋
尾巴害羞地摆动了一下,害羞
害怕地垂下眼,害怕
挂心,担心
掌控节奏,自信
咬着笔杆思索,认真
慌张地语无伦次,慌张
担心地搓手指,担心
成瘾性反应,心动
开心地蹦着走路,兴奋
困惑地歪着脑袋思考你说的事情,疑惑
不安地揉着耳朵,担心
哭到蹲下,哭泣
用指腹轻轻搓耳垂,无奈
兴奋地拍打柜子,兴奋
手足无措地搓着衣角,害怕
紧张地捏着衣角,担心
用指腹轻轻摩挲杯沿,无奈
激动地握拳挥舞,兴奋
瞬间脸红,害羞
紧张地抓着衣角,担心
假哭骗人,调皮
用胶带粘人,调皮
